transaction_id,customer_id,customer_name,email,phone,address,date_of_birth,card_number,transaction_amount,transaction_date,store_channel,_dq_null_flag,_ingested_at,_source_system,_batch_id
TXN000001,CUST0139,Tanvi Badami,kshere@example.net,8132962188,"93/648, Bedi Road, Sikar 671868",1979-08-11,5288252730046637,4801.91,2026-08-02,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000002,CUST0147,Yashoda Nanda,ddugar@example.net,6047074746,"606, Solanki, Nellore 091292",2000-08-22,2619398780744261,3394.04,2026-05-02,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000003,CUST0063,Siya Sehgal,narayanandarsh@example.com,913485657051,"H.No. 565, Kothari Nagar, Dharmavaram-742540",2005-12-02,2289485736720724,198.04,2026-03-16,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000004,CUST0105,Suhani Kapur,kamdarsara@example.org,8992022637,"43, Warrior Path, Khammam 104974",1999-12-29,2226949296061445,872.0,2026-07-10,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000005,CUST0025,Dayamai Ravel,tanmayimane@example.com,913992959958,"052, Chawla Street, Chandrapur-949558",1988-07-11,2569551716181798,3831.58,2026-06-09,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000006,CUST0169,Eshana Bansal,ishani34@example.net,2193565750,"99, Apte Chowk, Rajpur Sonarpur-830651",1964-05-15,2230700457814021,970.44,2026-06-08,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000007,CUST0091,Lajita Sami,krish65@example.com,2581881388,"68, Dyal Road, Surat 879272",1990-06-23,2611082014051515,8610.55,2026-06-29,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000008,CUST0106,Chanakya Vohra,chaudryfalan@example.net,287765846,"01/575, Sheth Marg, Kota 924271",2005-06-21,2268623311340659,224.05,2026-08-01,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000009,CUST0014,Mason Comar,andrewtank@example.org,913392865349,"H.No. 77, Babu Street, Amritsar-666053",1978-11-15,2370503551685796,547.99,2026-04-04,E-Commerce,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
TXN000010,CUST0016,Yashica Ghose,urvinayak@example.net,9704566971,"H.No. 993, Goyal Circle, Udupi 699433",1960-05-19,5135113029873278,2164.63,2026-03-13,POS-Store,False,2026-08-11T09:10:59.937700+00:00,retail_pos_ecommerce_extract,50832887
