transaction_id,customer_id,customer_name,email,phone,address,date_of_birth,card_number,cvv,transaction_amount,transaction_date,store_channel
TXN000001,CUST0139,Tanvi Badami,kshere@example.net,08132962188,"93/648, Bedi Road, Sikar 671868",1979-08-11,5288252730046637,632,4801.91,2026-08-02,E-Commerce
TXN000002,CUST0147,Yashoda Nanda,ddugar@example.net,06047074746,"606, Solanki, Nellore 091292",2000-08-22,2619398780744261,4871,3394.04,2026-05-02,POS-Store
TXN000003,CUST0063,Siya Sehgal,narayanandarsh@example.com,+913485657051,"H.No. 565, Kothari Nagar, Dharmavaram-742540",2005-12-02,2289485736720724,641,198.04,2026-03-16,POS-Store
TXN000004,CUST0105,Suhani Kapur,kamdarsara@example.org,08992022637,"43, Warrior Path, Khammam 104974",1999-12-29,2226949296061445,018,872.0,2026-07-10,E-Commerce
TXN000005,CUST0025,Dayamai Ravel,tanmayimane@example.com,+913992959958,"052, Chawla Street, Chandrapur-949558",1988-07-11,2569551716181798,938,3831.58,2026-06-09,E-Commerce
TXN000006,CUST0169,Eshana Bansal,ishani34@example.net,02193565750,"99, Apte Chowk, Rajpur Sonarpur-830651",1964-05-15,2230700457814021,705,970.44,2026-06-08,POS-Store
TXN000007,CUST0091,Lajita Sami,krish65@example.com,2581881388,"68, Dyal Road, Surat 879272",1990-06-23,2611082014051515,600,8610.55,2026-06-29,POS-Store
TXN000008,CUST0106,Chanakya Vohra,chaudryfalan@example.net,00287765846,"01/575, Sheth Marg, Kota 924271",2005-06-21,2268623311340659,500,224.05,2026-08-01,POS-Store
TXN000009,CUST0014,Mason Comar,andrewtank@example.org,+913392865349,"H.No. 77, Babu Street, Amritsar-666053",1978-11-15,2370503551685796,763,547.99,2026-04-04,E-Commerce
TXN000010,CUST0016,Yashica Ghose,urvinayak@example.net,9704566971,"H.No. 993, Goyal Circle, Udupi 699433",1960-05-19,5135113029873278,053,2164.63,2026-03-13,POS-Store
TXN000011,CUST0087,Adya Chakrabarti,dateekani@example.org,6322946418,"24/25, Raghavan Chowk, Gandhidham-301064",1980-02-16,2245588856258418,303,1557.84,2026-06-09,E-Commerce
TXN000012,CUST0064,Leela Magar,shankerayaan@example.net,+916954051388,"H.No. 232, Iyer Path, Saharsa-473520",1979-12-18,2252807077423597,779,397.68,2026-05-05,E-Commerce
TXN000013,CUST0049,Netra Gour,palladavid@example.com,+912515101554,"H.No. 382, Ben Path, New Delhi 046736",1965-02-27,2284924327771055,359,4139.92,2026-07-13,POS-Store
TXN000014,CUST0036,Ayushman Dara,siddharth45@example.org,01148944160,"H.No. 121, Saxena Path, Chennai-309608",1981-09-24,2556881312319129,509,538.01,2026-02-26,POS-Store
TXN000015,CUST0047,Zilmil Kuruvilla,uvenkataraman@example.net,+913071233063,"H.No. 96, Shankar Street, Jabalpur-490517",1978-06-12,2288892612771377,980,1185.76,2026-03-25,POS-Store
TXN000016,CUST0119,Nikita Tailor,warhi98@example.net,08118992226,"12/24, Kannan Road, Jammu-224630",2002-11-29,5299818270429677,789,1681.93,2026-06-27,E-Commerce
