customer_id,customer_name
4,Abeer Dutta
8,Bimala Buch
16,Lekha Raj
28,Niharika Gupta
32,Chandresh Zachariah
44,Nachiket Magar
51,Gaurangi Sabharwal
52,Lavanya Barad
64,Dayita Kar
65,Vaishnavi Bora
71,Anvi Sarraf
77,Lopa Nayar
83,Tejas Shroff
84,Nihal Mukhopadhyay
95,Urvashi Wali
125,Manthan Sekhon
139,Rushil Rajagopalan
144,Parth Iyer
145,Nitesh Kurian
151,Wahab Yogi
172,Inaya Pillai
180,Chakradev Kannan
187,Farhan Randhawa
188,Yashvi Comar
192,Chavvi Maharaj
196,Harshil Oza
200,Inaya Mukherjee
206,Janya Khanna
209,Ryan Devi
214,Bhavini Sodhi
223,Parth Shetty
225,Dayita Varma
229,Chaaya Nagi
244,Kabir Gopal
256,Wishi Morar
259,Jasmit Rau
260,Janani Mani
278,Charles Chaudhry
283,Suhani Viswanathan
284,Reyansh Chowdhury
296,Tanmayi Bhardwaj
303,Ranbir Chowdhury
324,Kashvi Bhasin
326,Praneel Chhabra
332,Praneel Murty
338,Yatin Borah
343,Frado Kibe
347,Meghana Natarajan
366,Jasmit Nanda
374,Azaan Kannan
390,Zashil Butala
397,Teerth Chadha
407,Dominic Mukherjee
415,Urmi Patla
420,Xavier Shetty
429,Dipta Ray
449,Kalpit Oak
459,Harrison Srinivas
531,Nisha Sastry
544,Tanvi Halder
558,Yoshita Dar
571,Aarna Reddy
583,Michael Patla
